City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,vila,42.0304,-8.1588,2.61,67,3,1.98,2.61,1675801272
263,ajaccio,42.0,8.9167,4.99,57,100,3.09,4.99,1675801273
264,leh,34.1667,77.5833,-19.13,64,11,1.48,-19.13,1675801274
265,abha,18.2164,42.5053,12.14,71,0,2.06,12.14,1675801255
266,coahuayana,18.7333,-103.6833,30.73,47,4,3.51,30.73,1675801276
267,bandarbeyla,9.4942,50.8122,24.7,74,63,5.98,24.7,1675801276
268,los llanos de aridane,28.6585,-17.9182,13.96,79,40,11.32,13.96,1675801278
269,guapi,2.5708,-77.8854,28.68,78,25,2.83,28.68,1675801279
270,kruisfontein,-34.0033,24.7314,21.6,82,99,1.09,21.6,1675801039
271,leningradskiy,69.3833,178.4167,-31.63,96,100,2.61,-31.63,1675801260
272,tepalcingo,18.6,-98.85,29.67,24,0,2.44,29.67,1675801281
273,carbonia,39.1672,8.5222,8.36,65,67,8.13,8.36,1675801282
274,castanos,26.7833,-101.4167,22.97,47,18,5.52,22.97,1675801282
275,marsabit,2.3284,37.9899,21.72,38,4,3.13,21.72,1675801283
276,peringat,6.0333,102.2833,23.32,92,98,0.59,23.32,1675801285
277,champerico,14.3,-91.9167,36.3,58,63,5.51,36.3,1675801285
278,xining,36.6167,101.7667,-2.47,70,100,0.37,-2.47,1675801286
279,nishihara,26.1842,127.7558,18.6,88,75,4.63,18.6,1675801288
280,lensk,60.7253,114.9278,-27.95,99,100,0.98,-27.95,1675801289
281,chicomuselo,15.7667,-92.2667,32.0,23,2,2.71,32.0,1675801290
282,shimoda,34.6667,138.95,8.39,75,99,1.71,8.39,1675801291
283,corral nuevo,18.1146,-95.1154,27.91,61,47,1.83,27.91,1675801291
284,namibe,-15.1961,12.1522,22.04,74,86,4.69,22.04,1675801292
285,port macquarie,-31.4333,152.9167,21.05,78,94,1.16,21.05,1675801002
286,srandakan,-7.9386,110.2506,23.63,93,100,1.47,23.63,1675801293
287,jumla,29.2747,82.1838,1.51,78,5,1.27,1.51,1675801293
288,srednekolymsk,67.45,153.6833,-35.27,99,100,2.38,-35.27,1675801295
289,pauini,-7.7136,-66.9764,30.61,56,20,1.65,30.61,1675801295
290,chokurdakh,70.6333,147.9167,-37.64,99,100,1.82,-37.64,1675801269
291,rovaniemi,66.5,25.7167,-0.33,93,0,5.66,-0.33,1675801296
292,puerto escondido,15.85,-97.0667,31.46,58,20,3.09,31.46,1675801229
293,alofi,-19.0595,-169.9187,22.94,100,100,2.57,22.94,1675801297
294,lat yao,15.751,99.7893,26.18,57,0,1.89,26.18,1675801298
295,alekseyevka,50.6309,38.6903,-9.64,89,6,5.26,-9.64,1675801299
296,burnie,-41.0667,145.9167,14.41,87,100,4.67,14.41,1675801300
297,yamada,39.4667,141.95,1.57,95,100,4.04,1.57,1675801300
298,sabha,27.0377,14.4283,15.08,30,100,4.75,15.08,1675801301
299,tucupita,9.0622,-62.051,26.98,70,94,2.91,26.98,1675801302
300,neuquen,-38.9516,-68.0591,36.9,8,0,6.0,36.9,1675801245
301,hofn,64.2539,-15.2082,0.42,86,100,10.5,0.42,1675801303
302,mana,5.6592,-53.7767,26.38,80,29,5.24,26.38,1675801303
303,mount gambier,-37.8333,140.7667,11.18,91,3,2.7,11.18,1675801304
304,luderitz,-26.6481,15.1594,20.27,77,1,9.85,20.27,1675801253
305,acapulco,16.8634,-99.8901,29.9,58,0,5.14,29.9,1675801173
306,goderich,43.7501,-81.7165,3.84,95,100,9.2,3.84,1675801251
307,dubti,11.7361,41.0853,28.57,21,2,2.58,28.57,1675801306
308,kulhudhuffushi,6.6221,73.07,27.05,71,96,4.26,27.05,1675801307
309,ostroleka,53.0862,21.5757,1.07,85,83,1.56,1.07,1675801307
310,milovice,50.226,14.8886,-2.8,65,0,1.03,-2.8,1675801308
311,beaufort,5.3473,115.7455,22.78,94,90,1.25,22.78,1675801309
312,mitsamiouli,-11.3847,43.2844,27.55,77,98,4.07,27.55,1675801310
313,linxia,35.6003,103.2064,-1.46,96,100,1.57,-1.46,1675801311
314,san patricio,28.017,-97.5169,24.53,72,100,7.66,24.53,1675801246
315,robertsport,6.7533,-11.3686,25.88,86,59,4.5,25.88,1675801312
316,isabela,6.7085,121.9711,24.67,84,100,0.87,24.67,1675801312
317,atbasar,51.8,68.3333,-15.99,98,100,1.53,-15.99,1675801314
318,kurmanayevka,52.5093,52.0675,-17.46,99,68,2.98,-17.46,1675801314
319,constitucion,-35.3333,-72.4167,21.55,55,12,3.39,21.55,1675801229
320,akcakoca,41.0866,31.1162,1.89,76,100,5.78,1.89,1675801316
321,sebastian,35.1668,-94.2669,11.31,90,100,1.11,11.31,1675801317
322,hami,42.8,93.45,0.61,50,100,2.06,0.61,1675801292
323,mezen,65.8522,44.24,-0.63,94,100,5.7,-0.63,1675801318
324,teshie,5.5836,-0.1072,27.75,76,80,3.97,27.75,1675801319
325,pochutla,15.7432,-96.4661,30.9,39,0,3.72,30.9,1675801301
326,along,28.1667,94.7667,12.58,86,100,0.65,12.58,1675801320
327,yining,29.0361,114.5636,9.29,98,100,1.43,9.29,1675801320
328,rio gallegos,-51.6226,-69.2181,15.88,55,100,3.6,15.88,1675801256
329,yulara,-25.2406,130.9889,25.46,24,0,2.66,25.46,1675801119
330,pisco,-13.7,-76.2167,27.4,63,14,4.35,27.4,1675801254
331,kochubey,44.3861,46.5825,-2.13,97,100,6.33,-2.13,1675801323
332,sheridan,44.8333,-106.9173,7.21,45,0,0.0,7.21,1675801141
333,sambava,-14.2667,50.1667,24.06,90,75,3.11,24.06,1675801325
334,lisala,2.15,21.5167,27.1,27,88,0.21,27.1,1675801326
335,vila franca do campo,37.7167,-25.4333,13.23,83,65,6.62,13.23,1675801283
336,makurdi,7.7411,8.5121,29.92,12,55,1.57,29.92,1675801327
337,saint-augustin,51.226,-58.6502,-15.17,77,0,1.3,-15.17,1675801253
338,toba,34.4833,136.85,10.0,72,2,8.93,10.0,1675801328
339,wageningen,51.9667,5.6667,1.07,91,34,0.51,1.07,1675801329
340,panacan,9.2463,118.4082,25.05,88,99,3.56,25.05,1675801329
341,yerbogachen,61.2767,108.0108,-29.48,100,96,1.08,-29.48,1675801250
342,arkhara,49.4212,130.0842,-33.36,100,41,0.74,-33.36,1675801331
343,yongan,39.6957,113.6871,-4.78,60,1,1.36,-4.78,1675801332
344,marovoay,-16.1,46.6333,24.16,91,100,1.77,24.16,1675801332
345,bealanana,-14.55,48.7333,18.19,98,100,0.75,18.19,1675801333
346,dakar,14.6937,-17.4441,20.49,71,100,9.08,20.49,1675801246
